,time,lat,lon,depth,mag
181,2012-11-30T03:19:47.550000Z,33.732,-118.816,1800.0,3.2
182,2012-11-27T00:58:32.450000Z,34.368,-117.179,7600.0,3.4
183,2012-11-26T15:33:50.700000Z,33.004,-116.235,6200.0,3.6
184,2012-11-09T11:39:10.590000Z,34.339,-118.484,1100.0,3.2
185,2012-11-06T02:39:15.590000Z,33.889,-118.56,11300.0,3.3
186,2012-11-04T17:03:01.790000Z,34.17,-117.667,3000.0,3.0
187,2012-10-28T15:24:23.710000Z,34.3286,-118.4537,10800.0,3.9
188,2012-10-28T07:47:02.300000Z,33.6822,-116.809,16300.0,3.9
189,2012-10-09T13:00:02.200000Z,33.71,-117.349,13400.0,3.3
190,2012-10-08T00:39:07.820000Z,33.0192,-116.2998,14200.0,4.2
191,2012-10-05T01:17:21.740000Z,35.9256,-117.6746,7200.0,3.5
192,2012-10-02T08:28:14.970000Z,32.8119,-116.1496,9800.0,4.1
193,2012-09-07T07:03:09.980000Z,34.066,-118.398,1500.0,3.5
194,2012-09-03T10:26:55.790000Z,34.068,-118.391,2400.0,3.3
195,2012-08-29T20:30:58.560000Z,33.809,-117.8101,4700.0,3.3
196,2012-08-29T01:34:35.440000Z,35.844,-117.778,9400.0,3.3
197,2012-08-28T09:36:17.960000Z,35.9937,-118.38,4500.0,3.3
198,2012-08-26T09:53:13.930000Z,33.871,-116.197,8400.0,3.3
199,2012-08-21T02:40:14.290000Z,34.255,-117.073,3600.0,3.1
200,2012-08-18T14:45:16.900000Z,34.429,-119.1,14600.0,3.0
201,2012-08-13T14:03:47.760000Z,35.9369,-117.6532,1600.0,3.5
202,2012-08-11T15:33:03.590000Z,33.828,-118.571,8500.0,3.4
203,2012-08-08T16:51:04.260000Z,33.901,-117.789,9500.0,3.4
204,2012-08-08T16:33:20.660000Z,33.8509,-117.7831,5900.0,4.3
205,2012-08-08T06:23:32.100000Z,33.8153,-117.8329,1300.0,4.1
206,2012-08-04T09:17:49.090000Z,35.536,-118.404,1300.0,3.1
207,2012-07-25T10:18:41.120000Z,33.9316,-118.406,13200.0,3.7
208,2012-07-22T03:00:37.590000Z,34.089,-116.392,10800.0,3.1
209,2012-07-19T13:23:06.790000Z,34.209,-117.555,12300.0,3.1
210,2012-07-12T17:54:28.520000Z,34.0567,-116.4184,13600.0,3.5
211,2012-07-08T10:50:03.090000Z,33.961,-116.132,6900.0,3.2
212,2012-07-07T22:06:12.590000Z,33.866,-119.31,100.0,3.2
213,2012-07-05T18:18:08.540000Z,34.3017,-116.8415,10000.0,3.5
214,2012-07-04T09:04:42.970000Z,33.3824,-116.267,12500.0,3.4
215,2012-06-26T04:22:20.290000Z,34.062,-116.366,7300.0,3.2
216,2012-06-19T04:01:37.080000Z,33.0617,-116.0486,11300.0,3.3
217,2012-06-14T03:17:15.590000Z,33.8772,-117.7831,13600.0,3.2
218,2012-06-10T04:33:58.950000Z,34.9644,-116.7054,12100.0,3.1
219,2012-06-06T01:31:40.670000Z,35.7873,-116.2655,12800.0,3.0
220,2012-05-31T06:42:55.270000Z,33.1742,-118.823,16900.0,3.5
221,2012-05-30T05:14:00.290000Z,33.6631,-119.0408,10000.0,3.5
222,2012-05-27T13:05:47.670000Z,34.932,-116.7193,9300.0,3.8
223,2012-05-24T05:45:27.290000Z,34.9479,-116.7156,13700.0,3.2
224,2012-05-21T10:47:06.860000Z,34.9544,-118.5715,10600.0,3.6
225,2012-05-21T06:19:58.500000Z,33.476,-116.487,15500.0,3.4
226,2012-05-18T10:37:09.590000Z,33.2446,-116.4598,4300.0,3.6
227,2012-05-08T23:55:42.550000Z,34.16,-116.424,8100.0,3.1
228,2012-04-28T15:07:27.050000Z,34.1428,-117.4512,11100.0,4.0
229,2012-04-24T19:44:07.830000Z,33.694,-116.8577,7500.0,3.2
230,2012-04-23T17:37:00.570000Z,33.5095,-117.7336,1600.0,3.3
231,2012-04-22T16:18:32.320000Z,33.304,-116.4038,5900.0,3.4
232,2012-04-19T11:45:35.090000Z,33.799,-116.094,1500.0,3.1
233,2012-04-17T00:12:02.570000Z,35.4135,-119.3606,9500.0,3.4
234,2012-04-12T18:53:00.470000Z,33.4471,-116.4696,10600.0,3.5
235,2012-04-04T01:12:08.980000Z,33.84,-116.1588,700.0,3.5
236,2012-04-03T15:15:36.940000Z,33.8298,-116.1163,4700.0,3.1
237,2012-03-31T09:53:26.700000Z,33.691,-119.136,11400.0,3.1
238,2012-03-31T02:15:09.450000Z,34.006,-118.831,12200.0,3.0
239,2012-03-30T06:09:27.340000Z,33.304,-116.879,15100.0,3.3
240,2012-03-28T10:09:52.640000Z,32.999,-116.4163,16100.0,3.3
241,2012-03-27T20:30:33.400000Z,34.152,-117.45,13700.0,3.4
242,2012-03-15T06:31:22.950000Z,33.2338,-116.1053,12200.0,3.4
243,2012-03-15T06:30:32.330000Z,33.2508,-116.0885,13600.0,3.5
244,2012-02-28T20:15:32.000000Z,33.8993,-119.3889,17000.0,3.5
245,2012-02-12T09:36:41.810000Z,32.7719,-116.0993,15300.0,3.0
246,2012-01-08T01:59:53.620000Z,33.7186,-116.0488,11600.0,3.5
247,2012-01-06T16:58:53.300000Z,33.7169,-116.0407,5400.0,3.5
248,2012-01-06T02:47:51.070000Z,34.002,-116.337,4900.0,3.0
